,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
485,Tyler Zeller,Mem,C,29.23,11.5,0.8,20.6,4.5,0.25,0.75,2018-2019,59820.0
486,Mitchell Creek,Bro,F,26.95,3.8,1.3,8.9,2.5,0.25,0.0,2018-2019,47371.0
487,Jaylen Morris,Mil,G,23.56,2.5,1.0,7.1,1.3,0.5,0.0,2018-2019,1378242.0
488,Luc Mbah a Moute,Lac,F,32.59,5.0,0.5,15.3,1.8,0.25,0.25,2018-2019,4320500.0
489,Nick Young,Den,G-F,33.86,2.3,0.5,9.3,0.3,0.0,0.25,2018-2019,1042584.0
490,JaKarr Sampson,Chi,F,26.06,20.0,1.0,31.8,8.0,1.0,0.75,2018-2019,85458.0
491,Eric Moreland,Tor,F-C,27.3,1.8,1.0,9.6,4.3,0.25,0.25,2018-2019,17092.0
492,Tony Bradley,Uta,C,21.17,5.7,0.3,12.0,5.0,0.67,0.67,2018-2019,1679520.0
493,Justin Patton,Phi,C,21.83,1.7,1.0,6.9,2.0,0.67,0.0,2018-2019,2667600.0
494,Okaro White,Was,F,26.66,0.0,0.0,2.1,0.7,0.0,0.0,2018-2019,1187862.0
495,Ike Anigbogu,Ind,C,20.47,0.0,0.3,2.1,1.0,0.0,0.33,2018-2019,1378242.0
496,Donatas Motiejunas,San,F-C,28.56,2.0,0.3,4.3,1.0,0.0,0.33,2018-2019,59820.0
497,Yante Maten,Mia,F,22.66,1.0,0.0,6.5,1.5,0.5,0.0,2018-2019,18948.0
498,Zhou Qi,Hou,F-C,23.23,2.0,0.0,1.0,0.0,0.0,0.0,2018-2019,1378242.0
499,Maxi Kleber,Dal,F,28.54,9.1,1.2,25.5,5.3,0.34,1.14,2019-2020,8000000.0
500,Monte Morris,Den,G,25.13,9.0,3.5,22.4,1.9,0.75,0.23,2019-2020,1588231.0
501,Justin Holiday,Ind,F-G,31.36,8.3,1.3,25.0,3.3,1.19,0.63,2019-2020,4767000.0
502,Delon Wright,Dal,G,28.3,6.9,3.3,21.5,3.8,1.15,0.3,2019-2020,9473684.0
503,Duncan Robinson,Mia,F,26.32,13.5,1.4,29.7,3.2,0.48,0.26,2019-2020,1416852.0
504,Nikola Jokic,Den,C,25.49,19.9,7.0,32.0,9.7,1.16,0.6,2019-2020,27504630.0
505,Mikal Bridges,Pho,F,23.96,9.1,1.8,28.0,4.0,1.44,0.63,2019-2020,4161000.0
506,Dillon Brooks,Mem,G-F,24.56,16.2,2.1,28.9,3.3,0.86,0.37,2019-2020,1618520.0
507,Nemanja Bjelica,Sac,F,32.27,11.5,2.8,27.9,6.3,0.85,0.56,2019-2020,6825000.0
508,Furkan Korkmaz,Phi,G-F,23.06,9.8,1.1,21.7,2.3,0.57,0.22,2019-2020,1620564.0
509,Harrison Barnes,Sac,F,28.21,14.5,2.2,34.5,4.9,0.6,0.17,2019-2020,24147727.0
510,Cory Joseph,Sac,G,28.99,6.4,3.5,24.4,2.6,0.74,0.29,2019-2020,12000000.0
511,Bam Adebayo,Mia,C-F,23.08,15.9,5.1,33.6,10.2,1.14,1.29,2019-2020,3454080.0
512,Joe Ingles,Uta,F-G,32.87,9.8,5.2,29.7,3.9,0.9,0.15,2019-2020,11954546.0
513,Terence Davis,Tor,G,23.25,7.5,1.6,16.8,3.3,0.54,0.19,2019-2020,898310.0
514,Ivica Zubac,Lac,C,23.41,8.3,1.1,18.4,7.6,0.22,0.92,2019-2020,6481482.0
515,Buddy Hield,Sac,G,26.66,19.2,3.0,30.8,4.6,0.93,0.24,2019-2020,4861208.0
516,P.J. Tucker,Hou,F,35.28,6.9,1.6,34.3,6.6,1.08,0.53,2019-2020,8349039.0
517,Tobias Harris,Phi,F,28.08,19.6,3.2,34.3,6.9,0.72,0.56,2019-2020,32742000.0
518,Markelle Fultz,Orl,G,22.21,12.1,5.1,27.7,3.3,1.25,0.17,2019-2020,9745200.0
519,Royce O'Neale,Uta,F,27.2,6.3,2.5,28.9,5.5,0.83,0.45,2019-2020,1618520.0
520,Ben McLemore,Hou,G,27.51,10.1,0.8,22.8,2.2,0.65,0.23,2019-2020,2028594.0
521,Brad Wanamaker,Bos,G,31.06,6.9,2.5,19.3,2.0,0.85,0.21,2019-2020,1445697.0
522,Tim Hardaway Jr.,Dal,G,28.41,15.8,1.9,29.5,3.3,0.61,0.07,2019-2020,20025127.0
523,Jerami Grant,Den,F,26.43,12.0,1.2,26.6,3.5,0.7,0.8,2019-2020,9346153.0
524,Dorian Finney-Smith,Dal,F,27.28,9.5,1.6,29.9,5.7,0.63,0.55,2019-2020,4000000.0
525,T.J. McConnell,Ind,G,28.39,6.5,5.0,18.7,2.7,0.8,0.15,2019-2020,3500000.0
526,Shai Gilgeous-Alexander,Okc,G-F,22.09,19.0,3.3,34.7,5.9,1.13,0.67,2019-2020,3952920.0
527,Chris Paul,Okc,G,35.28,17.6,6.7,31.5,5.0,1.59,0.16,2019-2020,38506482.0
528,CJ McCollum,Por,G,28.9,22.2,4.4,36.5,4.3,0.77,0.6,2019-2020,27556959.0
529,Jarrett Allen,Bro,C,22.32,11.1,1.6,26.5,9.6,0.57,1.31,2019-2020,2376840.0
530,Devin Booker,Pho,G,23.79,26.6,6.5,35.9,4.2,0.69,0.26,2019-2020,27285000.0
531,Jonas Valanciunas,Mem,C,28.27,14.9,1.9,26.4,11.3,0.44,1.1,2019-2020,16000000.0
532,Anfernee Simons,Por,G,21.19,8.3,1.4,20.7,2.2,0.37,0.14,2019-2020,2149560.0
533,Kentavious Caldwell-Pope,Lal,G,27.49,9.3,1.6,25.5,2.1,0.84,0.2,2019-2020,8089282.0
534,Troy Brown Jr.,Was,G-F,21.05,10.4,2.6,25.8,5.6,1.22,0.1,2019-2020,3219480.0
535,Joe Harris,Bro,G-F,28.94,14.5,2.1,30.8,4.3,0.59,0.25,2019-2020,7666667.0
536,Semi Ojeleye,Bos,F,25.69,3.4,0.5,14.6,2.1,0.3,0.07,2019-2020,1618520.0
537,Donovan Mitchell,Uta,G,23.94,24.0,4.3,34.3,4.4,1.01,0.2,2019-2020,3635760.0
538,Dwight Howard,Lal,C-F,34.69,7.5,0.7,18.9,7.3,0.46,1.14,2019-2020,1620564.0
539,Doug McDermott,Ind,F,28.61,10.3,1.1,19.9,2.5,0.17,0.09,2019-2020,7333333.0
540,OG Anunoby,Tor,F,23.08,10.6,1.6,29.9,5.3,1.41,0.65,2019-2020,2281800.0
541,Terrence Ross,Orl,G-F,29.52,14.7,1.2,27.4,3.2,1.12,0.35,2019-2020,12500000.0
542,Grant Williams,Bos,F,21.71,3.4,1.0,15.1,2.6,0.43,0.52,2019-2020,2379840.0
543,Mike Scott,Phi,F,32.08,6.0,0.8,17.8,3.7,0.32,0.07,2019-2020,4767000.0
544,Austin Rivers,Hou,G,28.04,8.8,1.7,23.4,2.6,0.72,0.16,2019-2020,2147317.0
545,James Harden,Hou,G,30.97,34.3,7.5,36.5,6.5,1.84,0.88,2019-2020,38199000.0
546,Danny Green,Lal,G,33.15,8.0,1.3,24.8,3.3,1.24,0.46,2019-2020,14634146.0
547,Derrick White,San,G,26.12,11.3,3.5,24.7,3.3,0.66,0.85,2019-2020,1948080.0
548,JaVale McGee,Lal,C-F,32.57,6.6,0.5,16.6,5.8,0.53,1.37,2019-2020,4000000.0
549,Rudy Gobert,Uta,C,28.13,15.1,1.5,34.3,13.5,0.72,1.97,2019-2020,23241573.0
550,Ish Smith,Was,G,32.11,10.9,4.9,26.3,3.2,0.88,0.44,2019-2020,6000000.0
551,DeMar DeRozan,San,F,31.02,22.1,5.6,34.1,5.5,1.03,0.29,2019-2020,27739975.0
552,Brook Lopez,Mil,C,32.37,12.0,1.5,26.7,4.6,0.68,2.4,2019-2020,12093023.0
553,Kyle Anderson,Mem,F-G,26.9,5.8,2.4,19.8,4.3,0.78,0.55,2019-2020,9073050.0
554,Al Horford,Phi,C-F,34.2,11.9,4.0,30.2,6.8,0.81,0.91,2019-2020,28000000.0
555,T.J. Warren,Ind,F,26.94,19.8,1.5,32.9,4.2,1.16,0.51,2019-2020,10810000.0
556,LeBron James,Lal,F,35.62,25.3,10.2,34.6,7.8,1.16,0.54,2019-2020,37436858.0
557,Kendrick Nunn,Mia,G,25.03,15.3,3.3,29.3,2.7,0.84,0.22,2019-2020,1416852.0
558,Wesley Matthews,Mil,G,33.84,7.4,1.4,24.4,2.5,0.55,0.13,2019-2020,2564753.0
559,Hassan Whiteside,Por,C,31.17,15.5,1.2,30.0,13.5,0.39,2.93,2019-2020,27093017.0
560,Rudy Gay,San,F-G,34.0,10.8,1.7,21.8,5.4,0.52,0.49,2019-2020,14500000.0
561,Ja Morant,Mem,G,21.01,17.8,7.3,31.0,3.9,0.88,0.27,2019-2020,8730240.0
562,Kelly Olynyk,Mia,C,29.32,8.2,1.7,19.4,4.6,0.67,0.34,2019-2020,12667885.0
563,Pat Connaughton,Mil,G,27.61,5.4,1.6,18.6,4.2,0.36,0.48,2019-2020,1723050.0
564,Donte DiVincenzo,Mil,G,23.54,9.2,2.3,23.0,4.8,1.33,0.32,2019-2020,2905800.0
565,Georges Niang,Uta,F,27.16,5.9,0.7,14.0,1.9,0.27,0.08,2019-2020,1645357.0
566,Aaron Holiday,Ind,G,23.87,9.5,3.4,24.5,2.3,0.85,0.24,2019-2020,2329200.0
567,Jayson Tatum,Bos,F-G,22.45,23.4,3.0,34.3,7.0,1.42,0.86,2019-2020,7830000.0
568,Langston Galloway,Det,G,28.68,10.2,1.5,25.8,2.2,0.73,0.15,2019-2020,7333333.0
569,Evan Fournier,Orl,G-F,27.79,18.5,3.2,31.4,2.6,1.08,0.23,2019-2020,17150000.0
570,Damian Lillard,Por,G,30.09,30.0,8.0,37.5,4.3,1.06,0.33,2019-2020,29802321.0
571,Dejounte Murray,San,G,23.9,10.9,4.1,25.6,5.8,1.68,0.26,2019-2020,2321735.0
572,Dario Saric,Pho,F,26.35,10.7,1.9,24.7,6.2,0.56,0.24,2019-2020,3481986.0
573,Patty Mills,San,G,32.01,11.6,1.8,22.5,1.6,0.8,0.09,2019-2020,12428571.0
574,Jakob Poeltl,San,C,24.83,5.6,1.8,17.7,5.7,0.56,1.45,2019-2020,3754886.0
575,Bobby Portis,Nyk,F,25.51,10.1,1.5,21.1,5.1,0.5,0.27,2019-2020,15000000.0
576,Robin Lopez,Mil,C,32.37,5.4,0.7,14.5,2.4,0.15,0.68,2019-2020,4767000.0
577,Isaac Bonga,Was,G,20.77,5.0,1.2,18.9,3.4,0.68,0.33,2019-2020,1416842.0
578,Josh Hart,Nor,G,25.44,10.1,1.7,27.0,6.6,0.97,0.35,2019-2020,1655160.0
579,Cedi Osman,Cle,F,25.35,11.0,2.4,29.4,3.6,0.83,0.25,2019-2020,2907143.0
580,Lou Williams,Lac,G,33.8,18.2,5.6,28.7,3.1,0.66,0.18,2019-2020,8000000.0
581,Coby White,Chi,G,20.49,13.2,2.7,25.8,3.6,0.75,0.09,2019-2020,5307120.0
582,Justin Jackson,Dal,F,25.38,5.5,0.8,16.1,2.4,0.23,0.15,2019-2020,3280920.0
583,Miles Bridges,Cha,F,22.4,13.0,1.8,30.7,5.6,0.62,0.74,2019-2020,3755400.0
584,Matisse Thybulle,Phi,G-F,23.45,4.7,1.2,19.8,1.6,1.43,0.72,2019-2020,2582160.0
585,Kevin Knox II,Nyk,F,21.01,6.4,0.9,17.9,2.8,0.35,0.43,2019-2020,4380120.0
586,Ricky Rubio,Pho,G,29.82,13.0,8.8,31.0,4.7,1.45,0.17,2019-2020,16200000.0
587,Daniel Theis,Bos,F,28.36,9.2,1.7,24.1,6.5,0.57,1.29,2019-2020,5000000.0
588,Tyus Jones,Mem,G,24.26,7.4,4.4,19.0,1.6,0.91,0.09,2019-2020,9258000.0
589,Tomas Satoransky,Chi,G,28.79,9.9,5.4,28.9,3.9,1.23,0.11,2019-2020,10000000.0
590,Collin Sexton,Cle,G,21.61,20.8,3.0,33.0,3.2,1.02,0.11,2019-2020,4764960.0
591,Dennis Schroder,Okc,G,26.92,18.9,4.0,30.8,3.6,0.71,0.22,2019-2020,15500000.0
592,Jaxson Hayes,Nor,C-F,20.23,7.4,0.9,16.9,4.1,0.41,0.88,2019-2020,4862040.0
593,Julius Randle,Nyk,C-F,25.71,19.5,3.1,32.5,9.7,0.8,0.34,2019-2020,18000000.0
594,Seth Curry,Dal,G,29.98,12.4,1.9,24.6,2.3,0.59,0.14,2019-2020,7461380.0
595,Alex Caruso,Lal,G,26.46,5.5,2.0,18.4,1.9,1.09,0.28,2019-2020,2750000.0
596,Taurean Prince,Bro,F,26.4,12.1,1.8,29.0,6.0,0.89,0.39,2019-2020,3481986.0
597,Spencer Dinwiddie,Bro,G,27.36,20.6,6.8,31.2,3.5,0.63,0.33,2019-2020,10605600.0
598,Thaddeus Young,Chi,F,32.15,10.3,1.8,24.9,4.9,1.44,0.36,2019-2020,12900000.0
599,Bryn Forbes,San,G,27.06,11.2,1.7,25.1,2.0,0.52,0.0,2019-2020,2875000.0
600,Trey Lyles,San,F,24.78,6.4,1.1,20.2,5.7,0.44,0.44,2019-2020,5500000.0
601,Devonte' Graham,Cha,G,25.48,18.2,7.5,35.1,3.3,0.98,0.24,2019-2020,1416852.0
602,JaMychal Green,Lac,F-C,30.15,6.8,0.8,20.7,6.2,0.46,0.38,2019-2020,4767000.0
603,Montrezl Harrell,Lac,F-C,26.55,18.6,1.7,27.8,7.1,0.63,1.11,2019-2020,6000000.0
604,Danuel House Jr.,Hou,F-G,27.19,10.5,1.3,30.4,4.2,1.06,0.54,2019-2020,3540000.0
605,De'Andre Hunter,Atl,F-G,22.7,12.3,1.8,32.0,4.5,0.7,0.29,2019-2020,7068360.0
606,Ersan Ilyasova,Mil,F,33.25,6.6,0.8,15.7,4.8,0.37,0.27,2019-2020,7000000.0
607,Terry Rozier,Cha,G,26.41,18.0,4.1,34.4,4.4,0.95,0.16,2019-2020,19894737.0
608,Jarrett Culver,Min,G-F,21.48,9.2,1.7,23.9,3.4,0.89,0.62,2019-2020,5813640.0
609,Steven Adams,Okc,C,27.07,10.9,2.3,26.7,9.3,0.81,1.06,2019-2020,25842697.0
610,Giannis Antetokounmpo,Mil,F,25.69,29.5,5.6,30.4,13.6,0.98,1.05,2019-2020,25842697.0
611,Bojan Bogdanovic,Uta,F,31.33,20.2,2.1,33.1,4.1,0.54,0.11,2019-2020,17000000.0
612,Lonzo Ball,Nor,G,22.8,11.8,6.9,32.1,6.1,1.41,0.59,2019-2020,8719320.0
613,Chris Boucher,Tor,F-C,27.59,6.6,0.4,13.2,4.5,0.37,1.0,2019-2020,1588231.0
614,Khris Middleton,Mil,F,29.01,20.9,4.3,29.9,6.2,0.85,0.11,2019-2020,30603448.0
615,Danilo Gallinari,Okc,F,32.02,18.7,1.9,29.6,5.2,0.68,0.08,2019-2020,22615559.0
616,Taj Gibson,Nyk,F,35.14,6.1,0.8,16.5,4.3,0.44,0.48,2019-2020,9000000.0
617,Aaron Gordon,Orl,F,24.91,14.4,3.7,32.5,7.7,0.82,0.63,2019-2020,19863636.0
618,Mo Bamba,Orl,C,22.26,5.4,0.7,14.2,4.9,0.37,1.37,2019-2020,5697600.0
619,Domantas Sabonis,Ind,F-C,24.28,18.5,5.0,34.8,12.4,0.73,0.48,2019-2020,3529555.0
620,Brandon Ingram,Nor,F,22.95,23.8,4.2,33.9,6.1,0.98,0.6,2019-2020,7265485.0
621,Josh Okogie,Min,G,21.95,8.6,1.6,25.0,4.3,1.1,0.42,2019-2020,2530680.0
622,Christian Wood,Det,F,24.88,13.1,1.0,21.4,6.3,0.55,0.89,2019-2020,1645357.0
623,Nikola Vucevic,Orl,C,29.81,19.6,3.6,32.2,10.8,0.87,0.76,2019-2020,28000000.0
624,Anthony Davis,Lal,F-C,27.43,26.1,3.2,34.4,9.3,1.47,2.31,2019-2020,27093018.0
625,Myles Turner,Ind,C-F,24.39,12.1,1.2,29.4,6.6,0.74,2.13,2019-2020,18000000.0
626,Garrett Temple,Bro,G-F,34.27,10.3,2.5,27.9,3.5,0.79,0.47,2019-2020,4767000.0
627,Eric Bledsoe,Mil,G,30.68,14.9,5.4,27.0,4.7,0.92,0.43,2019-2020,15625000.0
628,Lonnie Walker IV,San,G-F,21.67,6.4,1.1,16.2,2.3,0.52,0.23,2019-2020,2689920.0
629,Luka Doncic,Dal,G-F,21.46,28.8,8.8,33.6,9.4,0.98,0.23,2019-2020,7683360.0
630,Kyle Kuzma,Lal,F,25.06,12.8,1.3,25.0,4.5,0.46,0.43,2019-2020,1974600.0
631,Darius Bazley,Okc,F-G,20.17,5.6,0.7,18.5,4.0,0.38,0.67,2019-2020,2284800.0
632,Gary Trent Jr.,Por,G-F,21.57,8.9,1.0,21.8,1.6,0.79,0.26,2019-2020,1416852.0
633,Nerlens Noel,Okc,C-F,26.35,7.4,0.9,18.5,4.9,0.97,1.49,2019-2020,1620564.0
634,Mitchell Robinson,Nyk,C-F,22.37,9.7,0.6,23.2,7.0,0.85,1.95,2019-2020,1599712.0
635,Mason Plumlee,Den,F-C,30.45,7.2,2.5,17.3,5.2,0.52,0.61,2019-2020,14041096.0
636,Jrue Holiday,Nor,G,30.18,19.1,6.7,34.7,4.8,1.62,0.8,2019-2020,26231111.0
637,Bogdan Bogdanovic,Sac,G,27.99,15.1,3.4,28.9,3.4,1.07,0.25,2019-2020,8529386.0
638,Marcus Smart,Bos,G,26.44,12.9,4.9,32.0,3.8,1.67,0.48,2019-2020,12553571.0
639,Pascal Siakam,Tor,F,26.37,22.9,3.5,35.2,7.3,1.02,0.88,2019-2020,2351839.0
640,JJ Redick,Nor,G,36.14,15.3,2.0,26.4,2.5,0.33,0.18,2019-2020,13486300.0
641,De'Anthony Melton,Mem,G,22.22,7.6,2.9,19.5,3.7,1.27,0.33,2019-2020,1416852.0
642,Eric Paschall,Gol,F,23.78,14.0,2.1,27.6,4.6,0.53,0.22,2019-2020,898310.0
643,Rondae Hollis-Jefferson,Tor,F,25.61,7.0,1.8,18.7,4.7,0.77,0.38,2019-2020,2500000.0
644,Nicolo Melli,Nor,0,29.55,6.6,1.4,17.4,3.0,0.57,0.38,2019-2020,4102564.0
645,Vince Carter,Atl,G-F,43.55,5.0,0.8,14.6,2.1,0.38,0.42,2019-2020,1620564.0
646,Thon Maker,Det,F-C,23.47,4.7,0.7,12.9,2.8,0.42,0.65,2019-2020,3569643.0
647,Zach LaVine,Chi,G-F,25.43,25.5,4.2,34.8,4.8,1.45,0.47,2019-2020,19500000.0
648,Trae Young,Atl,G,21.9,29.6,9.3,35.3,4.2,1.08,0.13,2019-2020,6273000.0
649,Derrick Jones Jr.,Mia,F,23.5,8.5,1.1,23.3,3.9,1.0,0.63,2019-2020,1645357.0
650,Tony Snell,Det,G,28.76,8.0,2.2,27.8,1.9,0.54,0.25,2019-2020,11392857.0
651,Goran Dragic,Mia,G,34.28,16.2,5.1,28.2,3.2,0.68,0.17,2019-2020,19217900.0
652,Patrick Patterson,Lac,F,31.42,4.9,0.7,13.2,2.6,0.12,0.05,2019-2020,1620564.0
653,Frank Jackson,Nor,G,22.28,6.3,1.0,13.5,1.4,0.29,0.07,2019-2020,1618520.0
654,Darius Garland,Cle,G,20.55,12.3,3.9,30.9,1.9,0.69,0.07,2019-2020,6400920.0
655,Jamal Murray,Den,G,23.47,18.5,4.8,32.3,4.0,1.14,0.29,2019-2020,4444746.0
656,George Hill,Mil,G,34.28,9.4,3.1,21.5,3.0,0.8,0.08,2019-2020,9133907.0
657,Marquese Chriss,Gol,F,23.12,9.3,1.9,20.3,6.2,0.66,1.05,2019-2020,654469.0
658,Bruce Brown,Det,G-F,24.0,8.9,4.0,28.2,4.7,1.09,0.5,2019-2020,1416852.0
659,Jevon Carter,Pho,G,24.92,4.9,1.4,16.3,2.0,0.78,0.29,2019-2020,1416852.0
660,Kyle Lowry,Tor,G,34.39,19.4,7.5,36.2,5.0,1.41,0.45,2019-2020,34996296.0
661,Will Barton,Den,G,29.61,15.1,3.7,33.0,6.3,1.07,0.5,2019-2020,12776786.0
662,Jimmy Butler,Mia,F,30.92,19.9,6.0,33.8,6.6,1.78,0.55,2019-2020,32742000.0
663,Tony Bradley,Uta,C-F,22.52,4.9,0.4,11.4,4.6,0.24,0.57,2019-2020,1962360.0
664,Torrey Craig,Den,F,29.66,5.4,0.8,18.5,3.3,0.4,0.62,2019-2020,2000000.0
665,Ryan Arcidiacono,Chi,G,26.39,4.5,1.7,16.0,1.9,0.47,0.05,2019-2020,3000000.0
666,Cam Reddish,Atl,F-G,20.95,10.5,1.5,26.7,3.7,1.07,0.48,2019-2020,4245720.0
667,Enes Kanter,Bos,C,28.24,8.1,1.0,17.0,7.4,0.4,0.71,2019-2020,4767000.0
668,Brandon Clarke,Mem,F-G,23.9,12.1,1.4,22.4,5.9,0.57,0.83,2019-2020,2478840.0
669,Kyle Korver,Mil,G-F,39.41,6.7,1.2,16.6,2.1,0.43,0.21,2019-2020,1620564.0
670,Carmelo Anthony,Por,F,36.21,15.4,1.5,32.8,6.3,0.84,0.47,2019-2020,1364204.0
671,Cody Zeller,Cha,C,27.86,11.1,1.5,23.1,7.1,0.69,0.43,2019-2020,14471910.0
672,Kristaps Porzingis,Dal,F-C,25.04,20.4,1.8,31.8,9.5,0.72,2.02,2019-2020,27285000.0
673,Tristan Thompson,Cle,C-F,29.43,12.0,2.1,30.2,10.1,0.56,0.88,2019-2020,18539130.0
674,Kawhi Leonard,Lac,F,29.13,27.1,4.9,32.4,7.1,1.81,0.58,2019-2020,32742000.0
675,Frank Ntilikina,Nyk,G,22.05,6.3,3.0,20.8,2.1,0.95,0.28,2019-2020,4855800.0
676,Marco Belinelli,San,G,34.39,6.3,1.2,15.5,1.7,0.21,0.02,2019-2020,5846154.0
677,Jalen Brunson,Dal,G,23.95,8.2,3.3,17.9,2.4,0.39,0.07,2019-2020,1416852.0
678,Cameron Johnson,Pho,F,24.45,8.8,1.2,22.0,3.3,0.61,0.35,2019-2020,4033440.0
679,Russell Westbrook,Hou,G,31.75,27.2,7.0,36.0,7.9,1.65,0.35,2019-2020,38506482.0
680,Jaylen Brown,Bos,F-G,23.81,20.3,2.1,33.9,6.4,1.16,0.35,2019-2020,6534829.0
681,D.J. Augustin,Orl,G,32.76,10.5,4.6,24.9,2.1,0.58,0.02,2019-2020,7250000.0
682,Ben Simmons,Phi,F,24.07,16.4,8.0,35.4,7.8,2.11,0.58,2019-2020,8113930.0
683,Jaren Jackson Jr.,Mem,F-C,20.92,17.4,1.4,28.5,4.6,0.68,1.61,2019-2020,6927480.0
684,Jordan Poole,Gol,G,21.16,8.8,2.4,22.3,2.1,0.6,0.18,2019-2020,1964760.0
685,Bradley Beal,Was,G,27.13,30.6,6.1,36.0,4.2,1.26,0.4,2019-2020,27093019.0
686,Matthew Dellavedova,Cle,G,29.93,3.1,3.2,14.4,1.3,0.37,0.04,2019-2020,9607500.0
687,E'Twaun Moore,Nor,G,31.47,8.3,1.4,18.2,2.3,0.57,0.2,2019-2020,8664928.0
688,Rodney McGruder,Lac,G,29.05,3.3,0.7,15.6,2.7,0.46,0.14,2019-2020,4807693.0
689,DeAndre Jordan,Bro,C,32.07,8.3,1.9,22.0,10.0,0.32,0.93,2019-2020,9881598.0
690,Kelly Oubre Jr.,Pho,F-G,24.68,18.7,1.5,34.5,6.5,1.25,0.71,2019-2020,15625000.0
691,Larry Nance Jr.,Cle,F-C,27.62,10.1,2.2,26.3,7.3,0.98,0.39,2019-2020,12727273.0
692,Kevin Huerter,Atl,G-F,21.97,12.2,3.8,31.4,4.1,0.91,0.48,2019-2020,2636280.0
693,Kevin Love,Cle,F,31.94,17.6,3.2,31.8,9.8,0.59,0.34,2019-2020,28942830.0
694,RJ Barrett,Nyk,F-G,20.17,14.3,2.6,30.4,5.0,0.95,0.3,2019-2020,7839960.0
695,Kemba Walker,Bos,G,30.27,20.4,4.8,31.1,3.9,0.86,0.5,2019-2020,32742000.0
696,Gary Harris,Den,G,25.92,10.4,2.1,31.8,2.9,1.36,0.25,2019-2020,17839286.0
697,Terrance Ferguson,Okc,G,22.25,3.9,0.9,22.5,1.3,0.46,0.3,2019-2020,2475840.0
698,Bruno Fernando,Atl,F-C,22.0,4.3,0.9,12.7,3.5,0.32,0.3,2019-2020,1400000.0
699,Josh Richardson,Phi,G,26.92,13.7,2.9,30.8,3.2,0.95,0.65,2019-2020,10116576.0
700,Elie Okobo,Pho,F-G,22.81,4.0,2.1,13.1,1.6,0.45,0.07,2019-2020,1416852.0
701,Tyler Herro,Mia,G,20.57,13.5,2.2,27.4,4.1,0.62,0.16,2019-2020,3640200.0
702,Michael Porter Jr.,Den,F,22.13,9.3,0.8,16.4,4.7,0.49,0.45,2019-2020,3389400.0
703,Serge Ibaka,Tor,F,30.91,15.4,1.4,27.0,8.2,0.51,0.84,2019-2020,23271604.0
704,Abdel Nader,Okc,F,26.89,6.3,0.7,15.8,1.8,0.42,0.36,2019-2020,1618520.0
705,Damian Jones,Atl,C,25.13,5.6,0.6,16.1,3.7,0.47,0.73,2019-2020,2305057.0
706,Malik Monk,Cha,G,22.53,10.3,2.1,21.3,2.9,0.45,0.29,2019-2020,4028400.0
707,Malcolm Brogdon,Ind,G,27.67,16.5,7.1,30.9,4.9,0.65,0.19,2019-2020,20000000.0
708,Emmanuel Mudiay,Uta,G,24.44,7.3,2.1,15.7,2.3,0.44,0.19,2019-2020,1620564.0
709,Goga Bitadze,Ind,C-F,21.07,3.2,0.4,8.7,1.9,0.19,0.69,2019-2020,2816760.0
710,Raul Neto,Phi,G,28.24,5.1,1.8,12.4,1.1,0.44,0.11,2019-2020,1620564.0
711,Fred VanVleet,Tor,G,26.47,17.6,6.6,35.7,3.8,1.8,0.31,2019-2020,9346153.0
712,Davis Bertans,Was,F,27.75,15.4,1.7,29.3,4.5,0.69,0.61,2019-2020,7000000.0
713,LaMarcus Aldridge,San,F-C,35.07,18.9,2.4,33.1,7.4,0.68,1.64,2019-2020,26000000.0
714,Bismack Biyombo,Cha,C,27.96,7.4,0.9,19.4,5.8,0.19,0.92,2019-2020,17000000.0
715,Mario Hezonja,Por,F-G,25.47,4.8,0.9,16.4,3.5,0.68,0.17,2019-2020,1737145.0
716,Landry Shamet,Lac,G,23.43,9.3,1.9,27.4,1.9,0.38,0.19,2019-2020,1995120.0
717,Gordon Hayward,Bos,F,30.4,17.5,4.1,33.5,6.7,0.73,0.42,2019-2020,32700690.0
718,Norman Powell,Tor,G,27.23,16.0,1.8,28.4,3.6,1.15,0.4,2019-2020,10116576.0
719,Sterling Brown,Mil,G-F,25.51,5.1,1.0,14.7,3.5,0.56,0.13,2019-2020,1618520.0
720,Wes Iwundu,Orl,F,25.65,5.8,1.2,18.3,2.5,0.48,0.25,2019-2020,1618420.0
721,Paul Millsap,Den,F,35.51,11.6,1.6,24.3,5.7,0.86,0.59,2019-2020,30350000.0
722,Derrick Favors,Nor,F,29.09,9.0,1.6,24.4,9.8,0.59,0.9,2019-2020,17650000.0
723,Patrick Beverley,Lac,G,32.09,7.9,3.6,26.3,5.2,1.06,0.49,2019-2020,12345680.0
724,Kris Dunn,Chi,G,26.41,7.3,3.4,24.9,3.7,1.96,0.35,2019-2020,5348007.0
725,Joel Embiid,Phi,C-F,26.42,23.0,3.0,29.5,11.6,0.86,1.29,2019-2020,27504630.0
726,De'Aaron Fox,Sac,G,22.65,21.1,6.8,32.0,3.8,1.45,0.49,2019-2020,6392760.0
727,Meyers Leonard,Mia,C,28.46,6.1,1.1,20.3,5.1,0.27,0.29,2019-2020,11286516.0
728,Lauri Markkanen,Chi,F-C,23.23,14.7,1.5,29.8,6.3,0.84,0.48,2019-2020,5300400.0
