,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
112,Jakob Poeltl,San,C,23.49,5.5,1.2,16.5,5.3,0.38,0.9,2018-2019,2947320.0
113,Dwight Powell,Dal,F-C,27.73,10.6,1.5,21.6,5.3,0.56,0.66,2018-2019,9631250.0
114,DeMar DeRozan,San,G,29.68,21.2,6.2,34.9,6.0,1.12,0.47,2018-2019,27739975.0
115,Khris Middleton,Mil,F,27.66,18.3,4.3,31.1,6.0,1.04,0.09,2018-2019,13000000.0
116,Doug McDermott,Ind,F,27.27,7.3,0.9,17.4,1.4,0.23,0.1,2018-2019,7333333.0
117,Jeff Green,Was,F,32.62,12.3,1.8,27.2,4.0,0.56,0.52,2018-2019,1512601.0
118,T.J. McConnell,Phi,G,27.04,6.4,3.4,19.3,2.3,1.04,0.21,2018-2019,1600520.0
119,Joe Harris,Bro,G-F,27.59,13.7,2.4,30.2,3.9,0.49,0.22,2018-2019,8333333.0
120,Darren Collison,Ind,G,31.63,11.2,6.0,28.2,3.0,1.45,0.12,2018-2019,10000000.0
121,Gorgui Dieng,Min,C,29.23,6.4,0.9,13.6,4.1,0.62,0.54,2018-2019,15170787.0
122,Davis Bertans,San,F,26.41,8.0,1.3,21.5,3.5,0.46,0.43,2018-2019,7000000.0
123,Cedi Osman,Cle,F,24.01,13.0,2.6,32.2,4.7,0.78,0.14,2018-2019,2775000.0
124,Vince Carter,Atl,G-F,42.21,7.4,1.1,17.5,2.6,0.58,0.36,2018-2019,1512601.0
125,JJ Redick,Phi,G,34.8,18.0,2.7,31.3,2.4,0.42,0.21,2018-2019,12250000.0
126,Derrick Favors,Uta,F-C,27.74,11.8,1.2,23.2,7.4,0.74,1.39,2018-2019,16900000.0
127,Jamal Murray,Den,G,22.13,18.2,4.8,32.6,4.2,0.89,0.36,2018-2019,3499800.0
128,Kevin Huerter,Atl,G,20.62,9.7,2.9,27.3,3.3,0.88,0.33,2018-2019,2250960.0
129,Nicolas Batum,Cha,G-F,30.32,9.3,3.3,31.4,5.2,0.95,0.57,2018-2019,24000000.0
130,Torrey Craig,Den,F,28.31,5.7,1.0,20.0,3.5,0.49,0.61,2018-2019,2000000.0
131,Jonathan Isaac,Orl,F,21.52,9.6,1.1,26.6,5.5,0.79,1.29,2018-2019,4969080.0
132,Lou Williams,Lac,G,32.46,20.0,5.3,26.6,3.0,0.75,0.15,2018-2019,8000000.0
133,Marvin Williams,Cha,F,32.81,10.1,1.2,28.4,5.4,0.92,0.8,2018-2019,14087500.0
134,Blake Griffin,Det,F,30.07,24.5,5.4,35.0,7.5,0.69,0.37,2018-2019,32088932.0
135,JaVale McGee,Lal,C,31.23,12.0,0.7,22.3,7.6,0.64,1.96,2018-2019,1512601.0
136,Jaylen Brown,Bos,F,22.46,13.0,1.4,25.9,4.2,0.95,0.43,2018-2019,5169960.0
137,Terrance Ferguson,Okc,G,20.9,6.9,1.0,26.1,1.9,0.54,0.22,2018-2019,2118840.0
138,Tony Snell,Mil,G,27.42,6.0,0.9,17.6,2.1,0.35,0.24,2018-2019,10807143.0
139,Josh Okogie,Min,G,20.61,7.7,1.2,23.7,2.9,1.19,0.45,2018-2019,2160720.0
140,Quinn Cook,Gol,G,26.05,6.9,1.5,14.3,2.1,0.27,0.04,2018-2019,1544951.0
141,Seth Curry,Por,G,28.63,7.9,0.9,18.9,1.6,0.47,0.16,2018-2019,2795000.0
142,Robin Lopez,Chi,C,31.03,9.5,1.2,21.7,3.9,0.15,1.05,2018-2019,14357750.0
143,Myles Turner,Ind,F-C,23.05,13.3,1.6,28.6,7.2,0.81,2.69,2018-2019,3410284.0
144,Bruce Brown,Det,G,22.65,4.3,1.2,19.6,2.5,0.54,0.49,2018-2019,838464.0
145,Serge Ibaka,Tor,F-C,29.56,15.0,1.3,27.2,8.1,0.39,1.38,2018-2019,21666667.0
146,Domantas Sabonis,Ind,F,22.94,14.1,2.9,24.8,9.4,0.68,0.41,2018-2019,2659800.0
