,Name,Salary,Season2
226,Mike Scott,"$4,320,500.00 ",2018-2019
227,Emmanuel Mudiay,"$4,294,480.00 ",2018-2019
228,Frank Ntilikina,"$4,155,720.00 ",2018-2019
229,Collin Sexton,"$4,068,600.00 ",2018-2019
230,Buddy Hield,"$3,844,760.00 ",2018-2019
231,Kevin Knox II,"$3,739,920.00 ",2018-2019
232,Nene Hilario,"$3,651,480.00 ",2018-2019
233,Frank Kaminsky,"$3,627,842.00 ",2018-2019
234,Michael Beasley,"$3,500,000.00 ",2018-2019
235,Rodney Hood,"$3,472,887.00 ",2018-2019
236,Justise Winslow,"$3,448,926.00 ",2018-2019
237,Myles Turner,"$3,410,284.00 ",2018-2019
238,Brook Lopez,"$3,382,000.00 ",2018-2019
239,Trey Lyles,"$3,364,249.00 ",2018-2019
240,Ekpe Udoh,"$3,360,000.00 ",2018-2019
241,Luke Kennard,"$3,275,280.00 ",2018-2019
242,Troy Daniels,"$3,258,539.00 ",2018-2019
243,Miles Bridges,"$3,206,640.00 ",2018-2019
244,Tomas Satoransky,"$3,129,187.00 ",2018-2019
245,Donovan Mitchell,"$3,111,480.00 ",2018-2019
246,Jerome Robinson,"$3,046,200.00 ",2018-2019
247,Elfrid Payton,"$3,000,000.00 ",2018-2019
248,Jakob Poeltl,"$2,947,320.00 ",2018-2019
249,Justin Jackson,"$2,807,880.00 ",2018-2019
250,Seth Curry,"$2,795,000.00 ",2018-2019
251,Sam Dekker,"$2,760,095.00 ",2018-2019
252,Justin Patton,"$2,667,600.00 ",2018-2019
253,Domantas Sabonis,"$2,659,800.00 ",2018-2019
254,Delon Wright,"$2,536,898.00 ",2018-2019
255,Dario Saric,"$2,526,840.00 ",2018-2019
256,Taurean Prince,"$2,526,840.00 ",2018-2019
257,Manu Ginobili,"$2,500,000.00 ",2018-2019
258,Bobby Portis,"$2,494,346.00 ",2018-2019
259,Donte DiVincenzo,"$2,481,000.00 ",2018-2019
260,Devin Booker,"$3,314,365.00 ",2018-2019
261,Cameron Payne,"$3,263,294.00 ",2018-2019
262,Kelly Oubre Jr.,"$3,208,630.00 ",2018-2019
263,Marquese Chriss,"$3,206,160.00 ",2018-2019
264,Bryn Forbes,"$3,125,000.00 ",2018-2019
265,Terry Rozier,"$3,050,390.00 ",2018-2019
266,Yogi Ferrell,"$3,000,000.00 ",2018-2019
267,Bam Adebayo,"$2,955,840.00 ",2018-2019
268,Michael Porter Jr.,"$2,894,160.00 ",2018-2019
269,Thon Maker,"$2,799,720.00 ",2018-2019
270,Cedi Osman,"$2,775,000.00 ",2018-2019
271,Troy Brown Jr.,"$2,749,080.00 ",2018-2019
272,Guerschon Yabusele,"$2,667,600.00 ",2018-2019
273,Jerian Grant,"$2,639,314.00 ",2018-2019
274,D.J. Wilson,"$2,534,280.00 ",2018-2019
275,Zhaire Smith,"$2,526,840.00 ",2018-2019
276,Justin Anderson,"$2,516,048.00 ",2018-2019
277,Reggie Bullock,"$2,500,000.00 ",2018-2019
278,Dante Cunningham,"$2,487,000.00 ",2018-2019
279,Rondae Hollis-Jefferson,"$2,470,357.00 ",2018-2019
280,Emeka Okafor,"$2,445,085.00 ",2018-2019
281,Tyus Jones,"$2,444,053.00 ",2018-2019
282,T.J. Leaf,"$2,407,560.00 ",2018-2019
283,Lonnie Walker IV,"$2,357,160.00 ",2018-2019
284,Denzel Valentine,"$2,280,600.00 ",2018-2019
285,Kevin Huerter,"$2,250,960.00 ",2018-2019
286,Harry Giles III,"$2,207,040.00 ",2018-2019
287,Juan Hernangomez,"$2,166,360.00 ",2018-2019
288,Raul Neto,"$2,150,000.00 ",2018-2019
289,Grayson Allen,"$2,074,320.00 ",2018-2019
290,OG Anunoby,"$2,034,120.00 ",2018-2019
291,Corey Brewer,"$2,000,000.00 ",2018-2019
292,Chandler Hutchison,"$1,990,520.00 ",2018-2019
293,Shabazz Napier,"$1,942,422.00 ",2018-2019
294,Tyler Lydon,"$1,874,640.00 ",2018-2019
295,Trey Burke,"$1,795,015.00 ",2018-2019
296,Moritz Wagner,"$1,762,080.00 ",2018-2019
297,Nerlens Noel,"$1,757,429.00 ",2018-2019
298,Furkan Korkmaz,"$1,740,000.00 ",2018-2019
299,Caris LeVert,"$1,702,800.00 ",2018-2019
300,Kendrick Perkins,"$2,445,085.00 ",2018-2019
301,Jarell Martin,"$2,416,222.00 ",2018-2019
302,Wayne Ellington,"$2,383,076.00 ",2018-2019
303,John Collins,"$2,299,080.00 ",2018-2019
304,Larry Nance Jr.,"$2,272,391.00 ",2018-2019
305,Brandon Jennings,"$2,222,803.00 ",2018-2019
306,Darius Miller,"$2,205,000.00 ",2018-2019
307,Josh Okogie,"$2,160,720.00 ",2018-2019
308,Terrance Ferguson,"$2,118,840.00 ",2018-2019
309,Sean Kilpatrick,"$2,054,856.00 ",2018-2019
310,Jarrett Allen,"$2,034,120.00 ",2018-2019
311,Torrey Craig,"$2,000,000.00 ",2018-2019
312,Ante Zizic,"$1,952,760.00 ",2018-2019
313,Aaron Holiday,"$1,911,960.00 ",2018-2019
314,DeAndre Liggins,"$1,795,015.00 ",2018-2019
315,Malik Beasley,"$1,773,840.00 ",2018-2019
316,Anfernee Simons,"$1,760,520.00 ",2018-2019
317,Caleb Swanigan,"$1,740,000.00 ",2018-2019
318,Landry Shamet,"$1,703,649.00 ",2018-2019
319,Jonah Bolden,"$1,690,000.00 ",2018-2019
