,Name,Salary,Season2
485,Naz Reid,"$898,310.00 ",2020-2021
486,Talen Horton-Tucker,"$898,310.00 ",2020-2021
487,Eric Paschall,"$898,310.00 ",2020-2021
488,Daniel Gafford,"$898,310.00 ",2020-2021
489,Javonte Green,"$898,310.00 ",2020-2021
490,Isaiah Briscoe,"$838,464.00 ",2020-2021
491,Timothe Luwawu-Cabarrot,"$654,469.00 ",2020-2021
492,Marvin Williams,"$604,278.00 ",2020-2021
493,Rayjon Tucker,"$578,573.00 ",2020-2021
494,Gary Clark,"$555,409.00 ",2020-2021
495,Reggie Jackson,"$512,721.00 ",2020-2021
496,Anzejs Pasecniks,"$482,144.00 ",2020-2021
497,Jeff Green,"$439,475.00 ",2020-2021
498,Dion Waiters,"$375,385.00 ",2020-2021
499,Juan Toscano-Anderson,"$350,189.00 ",2020-2021
500,Terence Davis,"$898,310.00 ",2020-2021
501,Justin Robinson,"$898,310.00 ",2020-2021
502,Stanton Kidd,"$898,310.00 ",2020-2021
503,Jalen Lecque,"$898,310.00 ",2020-2021
504,Nicolas Claxton,"$898,310.00 ",2020-2021
505,KZ Okpala,"$898,310.00 ",2020-2021
506,Alen Smailagic,"$898,310.00 ",2020-2021
507,Vlatko Cancar,"$898,310.00 ",2020-2021
508,Max Strus,"$898,310.00 ",2020-2021
509,Damion Lee,"$842,327.00 ",2020-2021
510,Juwan Morgan,"$746,054.00 ",2020-2021
511,Marquese Chriss,"$654,469.00 ",2020-2021
512,Michael Kidd-Gilchrist,"$595,122.00 ",2020-2021
513,Chris Clemons,"$563,347.00 ",2020-2021
514,Brandon Goodwin,"$522,738.00 ",2020-2021
515,DeMarre Carroll,"$512,721.00 ",2020-2021
516,Chris Silva,"$466,918.00 ",2020-2021
517,Troy Daniels,"$384,541.00 ",2020-2021
518,Norvel Pelle,"$350,189.00 ",2020-2021
519,Ky Bowman,"$350,189.00 ",2020-2021
520,Tyler Zeller,"$245,686.00 ",2020-2021
521,Jontay Porter,"$197,933.00 ",2020-2021
522,Corey Brewer,"$183,115.00 ",2020-2021
523,Luguentz Dort,"$155,647.00 ",2020-2021
524,Jimmer Fredette,"$208,509.00 ",2020-2021
525,Anthony Tolliver,"$183,115.00 ",2020-2021
526,Tyler Johnson,"$183,115.00 ",2020-2021
